,nofloors,polygon,shading,height,wwr,construction,age,FLOOR_1: use,FLOOR_2: use,FLOOR_3: use,FLOOR_4: use,FLOOR_5: use,FLOOR_6: use,FLOOR_7: use,FLOOR_8: use,FLOOR_9: use,FLOOR_10: use,FLOOR_11: use,FLOOR_12: use,FLOOR_13: use,FLOOR_14: use,FLOOR_15: use,FLOOR_16: use,FLOOR_17: use,FLOOR_18: use,FLOOR_19: use,FLOOR_20: use,centroid_x,centroid_y,encoded_age,type
52401143210004,5,"POLYGON ((532401 165433.05, 532400.9 165435.25, 532395.2 165435, 532395.3 165432.45, 532395.15 165432.45, 532395.2 165430.15, 532398.4 165430.2, 532401.15 165430.6, 532401 165433.05))",False,12.54,0.15948572018182114,,PRE-1914,Shop,Office,Office,Office,Office,,,,,,,,,,,,,,,,532398.0998410023,165432.67751179545,1.0,nondom
52401143210006,1,"POLYGON ((532403 165482.5, 532409.05 165484.1, 532405.65 165496.9, 532399.65 165495.35, 532403 165482.5))",False,4.75,0.12361839151224265,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532404.3389057905,165489.70166416926,1.0,nondom
52401143210007,2,"POLYGON ((532477.45 165490.3, 532471.5 165488.75, 532475.95 165468.2, 532478.75 165468.85, 532476.9 165477, 532480.15 165477.7, 532477.45 165490.3))",False,9.43,0.30600812948798667,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532475.9712869951,165480.80496355164,1.0,nondom
52401143210008,1,"POLYGON ((532352.25 165449.1, 532357.5 165449.35, 532360.7 165449.55, 532358.25 165458.4, 532352.5 165458.6, 532352.25 165449.1))",False,6.23,0.16613787667553345,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532355.9237303468,165453.60511874733,1.0,nondom
52401143210009,2,"POLYGON ((532427.7 165463.75, 532424.4 165476.05, 532418.05 165474.4, 532421.45 165462.05, 532427.7 165463.75))",False,15.69,0.21280872984638766,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532422.893386581,165469.07482897193,1.0,nondom
52401143210010,2,"POLYGON ((532394.2 165493.9, 532389.65 165492.7, 532387.9 165492.25, 532391.45 165479.35, 532397.55 165481, 532394.2 165493.9))",False,4.95,0.11926528107880462,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532392.76502036,165486.6549148386,1.0,nondom
52401143210011,2,"POLYGON ((532374.15 165474.85, 532379.7 165476.3, 532385.25 165477.7, 532381.9 165490.6, 532376.25 165489.05, 532370.6 165487.55, 532372.1 165482.1, 532374.15 165474.85))",False,4.95,0.11926528107880462,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532377.9734570516,165482.69899857405,1.0,nondom
52401143210012,2,"POLYGON ((532480.15 165477.7, 532481.95 165469.5, 532487.85 165470.75, 532483.3 165491.85, 532477.45 165490.3, 532480.15 165477.7))",False,11.76,0.13458575851393131,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532482.6377131346,165480.60283761774,1.0,nondom
52401143210018,2,"POLYGON ((532397.55 165481, 532402.5 165482.35, 532403 165482.5, 532399.65 165495.35, 532394.2 165493.9, 532397.55 165481))",False,4.84,0.119940659107767,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532398.600060717,165488.181861155,1.0,nondom
52401143210019,2,"POLYGON ((532421.35 165487.45, 532417.9 165500, 532417.89 165500.03, 532417.77 165500, 532405.65 165496.9, 532409.05 165484.1, 532421.35 165487.45))",False,15.43,0.27820432109857834,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532413.4726185001,165492.10675366296,1.0,nondom
