SCU,nofloors,polygon,shading,height,wwr,construction,age,FLOOR_1: use,FLOOR_2: use,FLOOR_3: use,FLOOR_4: use,FLOOR_5: use,FLOOR_6: use,FLOOR_7: use,FLOOR_8: use,FLOOR_9: use,FLOOR_10: use,FLOOR_11: use,FLOOR_12: use,FLOOR_13: use,FLOOR_14: use,FLOOR_15: use,FLOOR_16: use,FLOOR_17: use,FLOOR_18: use,FLOOR_19: use,FLOOR_20: use,centroid_x,centroid_y,encoded_age,type,epc_rating_current,epc_rating_potential,d_epc_mainht_fuel,d_epc_mainht_plant,d_epc_mainht_room,d_epc_secondht_fuel,d_epc_dhw_fuel,d_epc_dhw_plant,d_epc_envelope_flr_type,d_epc_envelope_flr_insulation,d_epc_envelope_rf_type,d_epc_envelope_rf_insulation,d_epc_envelope_wall_type,d_epc_envelope_wall_insulation,d_epc_glazing_type,Cluster
52401020930015,2,"POLYGON ((532085.5 164817.2, 532096.79 164822.94, 532094.8 164826.85, 532087.15 164822.95, 532087.8 164821.65, 532084.15 164819.85, 532085.5 164817.2))",FALSE,6.7,0.1567024553425580,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532090.679488452,164822.0970467620,1.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1
52401020930016,2,"POLYGON ((532141.05 164916.15, 532141.4 164915.55, 532139.15 164914.25, 532138.16 164916.03, 532140.35 164917.32, 532150.51 164923.28, 532152.6 164919.85, 532150.76 164918.78, 532146.01 164916, 532145.3 164917.2, 532142.6 164915.55, 532141.9 164916.7, 532141.05 164916.15))",FALSE,5.13,0.0936812295367045,,POST-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532146.1542702060,164918.72380793100,4.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1
52401020930017,2,"POLYGON ((532245.4 164752.45, 532248.25 164763.1, 532241 164765.1, 532240.75 164764.3, 532239.75 164764.55, 532239.35 164763.25, 532236.5 164764, 532234.7 164757.4, 532238.5 164756.4, 532237.98 164754.47, 532245.4 164752.45))",FALSE,5.74,0.0577493614203273,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532241.7486830880,164759.1741909790,1.0,dom,C,C,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Above (premises),Internal Floor,Pitched,Yes,Solid Brick,No,Double,dom0
52401020930018,3,"POLYGON ((532073.16 164887.02, 532073.72 164886.07, 532071.4 164884.69, 532068.62 164881.74, 532065.36 164879.79, 532062.18 164877.89, 532061.52 164879.01, 532059.36 164878.42, 532057.96 164880.85, 532057.27 164880.45, 532056.4 164879.95, 532052.58 164886.49, 532053.27 164886.9, 532052.96 164887.42, 532053.74 164887.88, 532053.33 164888.56, 532054.19 164889.08, 532057.85 164891.38, 532058.8 164891.94, 532059.21 164891.25, 532060.07 164891.76, 532060.73 164890.64, 532061.99 164891.39, 532061.1 164892.95, 532071.88 164899.35, 532076.8 164891.05, 532077.62 164889.68, 532077.28 164889.48, 532073.16 164887.02))",FALSE,2.62,0.267082243152164,,PRE-1914,Dwell,Dwell,Dwell,,,,,,,,,,,,,,,,,,532065.118733747,164888.06033032900,1.0,dom,B,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Double,dom0
52401020930019,3,"POLYGON ((532036.1 164719.98, 532032.15 164719.95, 532032.2 164717.55, 532035.45 164717.45, 532033.8 164709.8, 532043.15 164707.69, 532047.1 164706.8, 532048.55 164713.2, 532049.8 164713.8, 532049.95 164714.85, 532051.7 164714.7, 532051.5 164710.4, 532055.9 164710, 532056.25 164716.05, 532050.45 164716.55, 532050.6 164717.4, 532049.85 164718.15, 532044.54 164719.19, 532040.7 164720.01, 532036.1 164719.98))",FALSE,8.14,0.1264001658249530,,PRE-1914,Dwell,Dwell,Dwell,,,,,,,,,,,,,,,,,,532043.384307759,164714.03594841500,1.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1
52401020930020,2,"POLYGON ((532086.8 164808.28, 532088.05 164805.8, 532094.25 164808.95, 532094.9 164807.65, 532102.6 164811.5, 532100.59 164815.46, 532086.8 164808.28))",FALSE,6.03,0.124595048258497,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532095.3027682960,164810.5436285340,1.0,dom,D,B,Mains Gas,Boiler,Radiators,Other (Smokeless Fuel),Mains Gas,Boiler,Suspended,No,Pitched,Yes,Solid Brick,No,Double (pre 2002),dom0
52401020930021,2,"POLYGON ((532111.73 164598.04, 532109.8 164597.2, 532108.28 164600.84, 532101.25 164597.8, 532104.25 164590.75, 532107.55 164592.15, 532107.8 164591.5, 532113.39 164593.9, 532111.73 164598.04))",FALSE,6.58,0.227298261238337,,1945-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532107.086385561,164595.63118922400,3.0,dom,C,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Solid,No,Below (premises),Internal Floor,Cavity,No,Double,dom0
52401020930022,1,"POLYGON ((532103.25 164918.21, 532100.05 164916.3, 532103.4 164910.65, 532104.85 164911.5, 532106.55 164908.7, 532107.25 164909.15, 532107.95 164908, 532108.95 164908.6, 532107.75 164910.6, 532103.25 164918.21))",FALSE,5.04,0.113735665137614,,PRE-1914,Dwell,,,,,,,,,,,,,,,,,,,,532104.2071880860,164913.39379960300,1.0,dom,E,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Solid,No,Pitched,No,Solid Brick,No,Double (pre 2002),dom3
52401020930023,2,"POLYGON ((532230.45 164753.7, 532229.55 164750.8, 532232.5 164749.9, 532231.4 164746.1, 532242.65 164742.7, 532244.1 164747.6, 532243.25 164747.85, 532244.25 164751.25, 532233.65 164754.4, 532233.2 164752.9, 532230.45 164753.7))",FALSE,7.07,0.0729564047362755,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532237.4736826270,164748.8077954470,1.0,dom,D,C,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Above (premises),Internal Floor,Below (premises),Internal Floor,Solid Brick,No,Double (pre 2002),dom3
52401020930024,2,"POLYGON ((532220.94 164713.84, 532220.08 164712.02, 532218.4 164712.98, 532216.6 164714.02, 532216.84 164714.51, 532214.1 164715.75, 532216.35 164720.7, 532217.65 164723.45, 532220.4 164722.15, 532221.1 164723.65, 532232.05 164718.5, 532228.25 164710.4, 532220.94 164713.84))",FALSE,6.91,0.137563308224284,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532223.0194425600,164717.212205935,1.0,dom,E,E,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Above (premises),Internal Floor,Pitched,No,Timber,No,Double (pre 2002),dom3
